#user_id;user_gender;user_age;movie_id;movie_score;score_timestamp;movie_title;movie_year;movie_genre
1;F;30;1193;5;978300760;One Flew Over the Cuckoo's Nest;1975;Drama
1;F;30;661;3;978302109;James and the Giant Peach;1996;Animation
1;F;30;914;3;978301968;My Fair Lady;1964;Musical
1;F;30;3408;4;978300275;Erin Brockovich;2000;Drama
1;F;30;2355;5;978824291;Bug's Life, A;1998;Animation
1;F;30;1197;3;978302268;Princess Bride, The;1987;Action
1;F;30;1287;5;978302039;Ben-Hur;1959;Action
1;F;30;2804;5;978300719;Christmas Story, A;1983;Comedy
1;F;30;594;4;978302268;Snow White and the Seven Dwarfs;1937;Animation
1;F;30;919;4;978301368;Wizard of Oz, The;1939;Adventure
1;F;30;595;5;978824268;Beauty and the Beast;1991;Animation
1;F;30;938;4;978301752;Gigi;1958;Musical
1;F;30;2398;4;978302281;Miracle on 34th Street;1947;Drama
1;F;30;2918;4;978302124;Ferris Bueller's Day Off;1986;Comedy
1;F;30;1035;5;978301753;Sound of Music, The;1965;Musical
1;F;30;2791;4;978302188;Airplane!;1980;Comedy
1;F;30;2687;3;978824268;Tarzan;1999;Animation
1;F;30;2018;4;978301777;Bambi;1942;Animation
1;F;30;3105;5;978301713;Awakenings;1990;Drama
1;F;30;2797;4;978302039;Big;1988;Comedy
1;F;30;2321;3;978302205;Pleasantville;1998;Comedy
1;F;30;720;3;978300760;Wallace & Gromit: The Best of Aardman Animation;1996;Animation
1;F;30;1270;5;978300055;Back to the Future;1985;Comedy
1;F;30;527;5;978824195;Schindler's List;1993;Drama
1;F;30;2340;3;978300103;Meet Joe Black;1998;Romance
1;F;30;48;5;978824351;Pocahontas;1995;Animation
1;F;30;1097;4;978301953;E.T. the Extra-Terrestrial;1982;Children's
1;F;30;1721;4;978300055;Titanic;1997;Drama
1;F;30;1545;4;978824139;Ponette;1996;Drama
1;F;30;745;3;978824268;Close Shave, A;1995;Animation
1;F;30;2294;4;978824291;Antz;1998;Animation
1;F;30;3186;4;978300019;Girl, Interrupted;1999;Drama
1;F;30;1566;4;978824330;Hercules;1997;Adventure
1;F;30;588;4;978824268;Aladdin;1992;Animation
1;F;30;1907;4;978824330;Mulan;1998;Animation
1;F;30;783;4;978824291;Hunchback of Notre Dame, The;1996;Animation
1;F;30;1836;5;978300172;Last Days of Disco, The;1998;Drama
1;F;30;1022;5;978300055;Cinderella;1950;Animation
